l,Val
1.0,221.55164984856938
2.0,1.1363021041573483e-12
3.0,1.0514833084283749e-12
4.0,2.899208679416964e-12
5.0,7.510369594958297e-13
6.0,5.169483728798218e-13
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
