mechanism,avg_comp,avg_net_welfare_delta,std_comp,std_net_welfare_delta,prob_loss,avg_loss,CVaR_80_loss
no_comp,0.0,6.769177100536015e6,0.0,1.4484409304688148e7,0.4333333333333333,3.108823282960383e6,1.07724615770642e7
lump_sum,-4.80840369868954e6,1.960773401846469e6,2.8417313157521624e-9,1.4484409304688148e7,0.4333333333333333,5.192464885725851e6,1.5580865275753746e7
flow,-4.808403698689544e6,1.9607734018464687e6,1.242667562952637e6,1.403898280178305e7,0.4333333333333333,5.077679199391461e6,1.5785618405216748e7
flow_value_avg,-4.808403698689545e6,1.9607734018464694e6,1.0712135802638165e6,1.3723741104159331e7,0.4333333333333333,4.950685131679287e6,1.4841596192157447e7
ideal,-4.808403698690345e6,1.960773401845668e6,1.2255648987756431e7,3.31536167548867e6,0.26666666666666666,537492.1470856881,2.528217177007175e6
