mechanism,avg_comp,avg_net_welfare_delta,std_comp,std_net_welfare_delta,prob_loss,avg_loss,CVaR_80_loss
no_comp,0.0,-4.612855667208775e6,0.0,2.7696953736059866e6,0.9666666666666666,4.616547641193521e6,8.64290781189297e6
lump_sum,6.573629069054621e6,1.9607734018458491e6,2.8417313157521624e-9,2.7696953736059866e6,0.19999999999999998,413855.74856766843,2.069278742838343e6
flow,6.573629069054624e6,1.9607734018458494e6,1.698866427796612e6,3.423057245638262e6,0.3,687036.2568991102,3.0195783433832135e6
flow_value_avg,6.573629069054624e6,1.9607734018458496e6,1.4644695353485872e6,2.7385623575261924e6,0.26666666666666666,412331.0935788768,1.9579145651549625e6
ideal,6.573629069054443e6,1.9607734018456677e6,5.374119929729693e6,3.3153616754886704e6,0.26666666666666666,537492.1470856881,2.5282171770071755e6
