coalition,NO,AT,FR,DE,DK
NO,1.0,0.2923756524052332,0.23210981793888158,-0.3440599474971043,-0.634455755074627
AT,0.2923756524052332,1.0,0.9767944103052619,-0.2705409948610317,-0.6318961213877453
FR,0.23210981793888158,0.9767944103052619,1.0,-0.3114607049096211,-0.5726365756716987
DE,-0.3440599474971043,-0.2705409948610317,-0.3114607049096211,1.0,0.3590257836039147
DK,-0.634455755074627,-0.6318961213877453,-0.5726365756716987,0.3590257836039147,1.0
