mechanism,avg_comp,avg_net_welfare_delta,std_comp,std_net_welfare_delta,prob_loss,avg_loss,CVaR_80_loss
no_comp,0.0,8.796744586083293e6,0.0,6.112121073830763e6,0.0,0.0,0.0
lump_sum,-6.835971184237448e6,1.9607734018458484e6,2.8417313157521624e-9,6.112121073830763e6,0.39999999999999997,1.1917425032223319e6,4.713601575192178e6
flow,-6.835971184237445e6,1.9607734018458477e6,1.7666652353349482e6,6.690508305647086e6,0.4666666666666666,1.539512442792827e6,5.551639668831021e6
flow_value_avg,-6.835971184237444e6,1.960773401845849e6,1.5229139701483438e6,5.855173334736783e6,0.4333333333333333,1.1742101381112956e6,3.858702135863381e6
ideal,-6.8359711842376245e6,1.960773401845668e6,4.872648603959541e6,3.3153616754886704e6,0.26666666666666666,537492.1470856881,2.528217177007175e6
