mechanism,avg_comp,avg_net_welfare_delta,std_comp,std_net_welfare_delta,prob_loss,avg_loss,CVaR_80_loss
no_comp,0.0,-6.530149743407822e6,0.0,9.577179630903566e6,0.7999999999999999,8.366382624439494e6,1.6272479206130031e7
lump_sum,8.490923145252148e6,1.960773401844324e6,3.78897508766955e-9,9.577179630903566e6,0.6,2.6253804352007406e6,7.781556060877884e6
flow,8.490923145252146e6,1.9607734018443245e6,2.194365413828345e6,1.074154447159602e7,0.5333333333333333,3.092529050246644e6,9.836444992180238e6
flow_value_avg,8.490923145252148e6,1.960773401844325e6,1.8916032746271535e6,9.417278976745583e6,0.5333333333333333,2.676151637444963e6,8.505716680976683e6
ideal,8.49092314525349e6,1.960773401845668e6,9.622867160364967e6,3.31536167548867e6,0.26666666666666666,537492.1470856881,2.528217177007175e6
