mechanism,avg_comp,avg_net_welfare_delta,std_comp,std_net_welfare_delta,prob_loss,avg_loss,CVaR_80_loss
no_comp,0.0,5.3809507332256315e6,0.0,4.15541171250321e6,0.0,0.0,0.0
lump_sum,-3.4201773313797824e6,1.960773401845849e6,1.4208656578760812e-9,4.1554117125032097e6,0.3,617093.5172306055,2.9298526348221023e6
flow,-3.420177331379783e6,1.9607734018458487e6,883899.0433373719,4.455998150163299e6,0.36666666666666664,743300.9967364131,3.23873215327425e6
flow_value_avg,-3.4201773313797833e6,1.960773401845849e6,761945.25956358,4.0279075865222765e6,0.36666666666666664,562876.6770484833,2.414409303106438e6
ideal,-3.4201773313799645e6,1.9607734018456682e6,3.6653344243155415e6,3.315361675488671e6,0.26666666666666666,537492.1470856881,2.528217177007175e6
